cacc_doc_it_uuid,cacc_doc_uuid,cbus_part_uuid,ccost_ctr_uuid,ccreation_date,cdoc_date,cfiscyear,cfix_asset_uuid,cglacct,cnote_hd,cnote_it,coedpartner,coedref_f_id,coff_glacct,cposting_date,cprofitctr_uuid,kcbalance_currcomp,kccredit_currcomp,kcdebit_currcomp,tbus_part_uuid,tcost_ctr_uuid,tfix_asset_uuid,tglacct,toff_glacct,tproduct_type,tproduct_uuid,tprofitctr_uuid
2,110000000720,P000000397,,2024-07-09T00:00:00,2024-07-08,2024,,400000,"PAGO 3877344 IDEALISTA, S.A.","PAGO 3877344 IDEALISTA, S.A.",,3517,410000,2024-07-09,CTS01,-884.82,884.82,0.0,"IDEALISTA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000721,P000000437,,2024-07-10T00:00:00,2024-07-09,2024,,400000,PAGO FBADS-134-103521562 META PLATFORMS,PAGO FBADS-134-103521562 META PLATFORMS,,3519,410000,2024-07-10,CTS01,-27.91,27.91,0.0,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
5,110000000724,P000000139,,2024-07-15T00:00:00,2024-07-15,2024,,400000,,,,3571,410000,2024-07-15,CTS01,-213.9,213.9,0.0,"RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000725,P000000502,,2024-07-15T00:00:00,2024-07-10,2024,,400000,PAGO INV-000078491 ADYEN NV,PAGO INV-000078491 ADYEN NV,,3572,410000,2024-07-15,CTS01,-103.15,103.15,0.0,SIGNATURIT SOLUTIONS SL,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000726,P000000306,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO 04209-26216616 CANVA* I04209-,PAGO 04209-26216616 CANVA* I04209-,,3607,410000,2024-07-16,CTS01,-13.99,13.99,0.0,CANVA PTY. LTD.,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000727,P000000437,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO FBADS-134-103535083 META PLATFORMS,PAGO FBADS-134-103535083 META PLATFORMS,,3608,410000,2024-07-16,CTS01,-28.5,28.5,0.0,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000728,P000000275,,2024-07-17T00:00:00,2024-07-16,2024,,400000,PAGO IEE2024008015484 ADOBE  *ADOBE,PAGO IEE2024008015484 ADOBE  *ADOBE,,3619,410000,2024-07-17,CTS01,-73.49,73.49,0.0,ADOBE SYSTEMS SOFTWARE IRELAND LTD,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,110000000729,P000001088,,2024-07-17T00:00:00,2024-07-17,2024,,400000,,,,3620,410000,2024-07-17,CTS01,-262.36,262.36,0.0,"GOLDEN WHEELS & GOLDEN EVENTS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000730,P000000437,,2024-07-18T00:00:00,2024-07-17,2024,,400000,PAGO FBADS-134-103545743 META PLATFORMS,PAGO FBADS-134-103545743 META PLATFORMS,,3627,410000,2024-07-18,CTS01,-23.31,23.31,0.0,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000734,P000000012,,2024-07-20T00:00:00,2024-07-19,2024,,400000,PAGO TA7BV0001091 TELEFONICA DE ESPANA,PAGO TA7BV0001091 TELEFONICA DE ESPANA,,3656,410000,2024-07-20,CTS01,-27.23,27.23,0.0,"TELEFONICA DE ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,110000000735,P000000765,,2024-07-23T00:00:00,2024-07-23,2024,,400000,,,,3673,410000,2024-07-17,CTS01,-308.77,308.77,0.0,"CHEQUE DEJEUNER ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000736,P000000466,,2024-07-23T00:00:00,2024-07-22,2024,,400000,PAGO 9050086760 CASA VIVA,PAGO 9050086760 CASA VIVA,,3687,410000,2024-07-23,CTS01,-85.8,85.8,0.0,"PENTAGO XXI, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
4,110000000742,P000000004,,2024-07-24T00:00:00,2024-07-24,2024,,400000,,,,3696,410000,2024-07-24,CTS01,-400,400.0,0.0,"SEXTO-MARTINEZ GIL, C.B.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000743,P000000320,,2024-07-24T00:00:00,2024-07-23,2024,,400000,PAGO 2109304 COOKIEBOT,PAGO 2109304 COOKIEBOT,,3702,410000,2024-07-24,CTS01,-52,52.0,0.0,USERCENTRICS A/S,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000745,P000000437,,2024-07-24T00:00:00,2024-07-23,2024,,400000,PAGO FBADS-134-103561490 META PLATFORMS,PAGO FBADS-134-103561490 META PLATFORMS,,3704,410000,2024-07-24,CTS01,-27.74,27.74,0.0,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,170000000065,P000001088,,2024-07-15T00:00:00,2024-07-15,2024,,400000,COMP. FRA. GOLDEN WHEELS MAYO-JULIO,COMP. FRA. GOLDEN WHEELS MAYO-JULIO,,3000000022,555000,2024-07-15,CTS01,262.36,0.0,262.36,"GOLDEN WHEELS & GOLDEN EVENTS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Items Pending Allocation,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,170000000066,P000000139,,2024-07-15T00:00:00,2024-07-15,2024,,400000,RENFE VLC-BCN CENA VERANO,RENFE VLC-BCN CENA VERANO,,3000000023,629007,2024-07-15,CTS01,213.9,0.0,213.9,"RENFE VIAJEROS SOCIEDAD MERCANTIL ESTATAL, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES629007,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,170000000067,P000000004,,2024-07-24T00:00:00,2024-07-24,2024,,400000,PROVISION FONDOS PB1734/24,PROVISION FONDOS PB1734/24,,3000000024,407001,2024-07-24,CTS01,400,0.0,400.0,"SEXTO-MARTINEZ GIL, C.B.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES407001,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
1,220000000032,P000000019,,2024-07-15T00:00:00,2024-06-11,2024,,400000,BESERVICES ABONO PORTATIL HP 250 G10,BESERVICES ABONO PORTATIL HP 250 G10,NC2400312,CTAP-33-2024,217000,2024-07-15,CTS01,1072.46,0.0,1072.46,"22TECH BUSINESS VALUE, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),EDP Equipment,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,240000001483,P000000831,,2024-07-12T00:00:00,2024-07-11,2024,,400000,COBRO DEVOLUCION DUPLICADO FRA. JULIO,COBRO DEVOLUCION DUPLICADO FRA. JULIO,,2705,572977,2024-07-11,CTS01,-148.83,148.83,0.0,"SMART THINGS AND FRIENDS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
3,240000001483,P000000831,,2024-07-12T00:00:00,2024-07-11,2024,,400000,COBRO DEVOLUCION DUPLICADO FRA. JULIO,COBRO DEVOLUCION DUPLICADO FRA. JULIO,,2705,572977,2024-07-11,CTS01,-148.83,148.83,0.0,"SMART THINGS AND FRIENDS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
3,240000001575,P000000526,,2024-07-19T00:00:00,2024-07-03,2024,,400000, 000000000000, 000000000000,,2784,430900,2024-07-03,CTSVLCSAL0046,457.57,0.0,457.57,UNIPLACES LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),"Trade Accounts Receivables, Invoice Pending",Not Assigned,Not Assigned,Salamanca 46
2,250000001056,P000000450,,2024-07-02T00:00:00,2024-07-01,2024,,400000,PAGO 998-92219 FREENOW*B110U9-2,PAGO 998-92219 FREENOW*B110U9-2,,2536,410000,2024-07-01,CTS01,-7.4,7.4,0.0,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
3,250000001056,P000000450,,2024-07-02T00:00:00,2024-07-01,2024,,400000,PAGO 998-92219 FREENOW*B110U9-2,PAGO 998-92219 FREENOW*B110U9-2,,2536,410000,2024-07-01,CTS01,-7.75,7.75,0.0,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001061,P000000521,,2024-07-02T00:00:00,2024-07-01,2024,,400000,"PAGO 2024/1708 TELEFONO PERMANENTE, S.L.","PAGO 2024/1708 TELEFONO PERMANENTE, S.L.",,2537-1,410000,2024-07-01,CTS01,298.01,0.0,298.01,"TELEFONO PERMANENTE, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001062,P000000521,,2024-07-02T00:00:00,2024-07-01,2024,,400000,"PAGO 2024/1708 TELEFONO PERMANENTE, S.L.","PAGO 2024/1708 TELEFONO PERMANENTE, S.L.",,2537-2,572977,2024-07-01,CTS01,-298.01,298.01,0.0,"TELEFONO PERMANENTE, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001066,P000000450,,2024-07-03T00:00:00,2024-07-01,2024,,400000,PAGO 998-92219 FREENOW*B110U9-2,PAGO 998-92219 FREENOW*B110U9-2,,2536-1,410000,2024-07-01,CTS01,7.4,0.0,7.4,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
3,250000001066,P000000450,,2024-07-03T00:00:00,2024-07-01,2024,,400000,PAGO 998-92219 FREENOW*B110U9-2,PAGO 998-92219 FREENOW*B110U9-2,,2536-1,410000,2024-07-01,CTS01,7.75,0.0,7.75,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001067,P000000450,,2024-07-03T00:00:00,2024-07-01,2024,,400000,PAGO MYTAXI,PAGO MYTAXI,,2551,410000,2024-07-01,CTS01,-7.4,7.4,0.0,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
3,250000001067,P000000450,,2024-07-03T00:00:00,2024-07-01,2024,,400000,PAGO MYTAXI,PAGO MYTAXI,,2551,410000,2024-07-01,CTS01,-7.75,7.75,0.0,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001113,P000000767,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 28-G4M0-049175 TELEFONICA,PAGO 28-G4M0-049175 TELEFONICA,,2616,572977,2024-07-01,CTS01,29.04,0.0,29.04,"TELEFONICA MOVILES ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001114,P000000767,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 28-G4U1-072391 TELEFONICA,PAGO 28-G4U1-072391 TELEFONICA,,2617,572977,2024-07-01,CTS01,6.53,0.0,6.53,"TELEFONICA MOVILES ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001115,P000000012,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO TA7DM0092488 TELEFONIA FIJA,PAGO TA7DM0092488 TELEFONIA FIJA,,2618,572977,2024-07-01,CTS01,326.68,0.0,326.68,"TELEFONICA DE ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001117,P000000806,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 24/0060/001745 LACKANTON,PAGO 24/0060/001745 LACKANTON,,2620,572977,2024-07-01,CTS01,48.59,0.0,48.59,"LACKANTON EDIFICACIONES, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001126,P000000516,,2024-07-08T00:00:00,2024-07-03,2024,,400000,PAGO 2MJH4XVMMX1BBIDZII SUPERMETRICS.COM,PAGO 2MJH4XVMMX1BBIDZII SUPERMETRICS.COM,,2642,572977,2024-07-03,CTS01,124,0.0,124.0,SUPERMETRICS OY,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001129,P000000437,,2024-07-08T00:00:00,2024-07-03,2024,,400000,PAGO FBADS-134-103507882 META PLATFORMS,PAGO FBADS-134-103507882 META PLATFORMS,,2648,572977,2024-07-03,CTS01,28.44,0.0,28.44,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001137,P000000450,,2024-07-09T00:00:00,2024-07-05,2024,,400000,PAGO FREENOW*B21AUY-2,PAGO FREENOW*B21AUY-2,,2665,572977,2024-07-05,CTS01,7,0.0,7.0,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001147,P000000831,,2024-07-09T00:00:00,2024-07-05,2024,,400000,PAGO SMART THINGS AND FRIENDS F2404896,PAGO SMART THINGS AND FRIENDS F2404896,,2667,572977,2024-07-05,CTS01,148.83,0.0,148.83,"SMART THINGS AND FRIENDS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001148,P000000831,,2024-07-09T00:00:00,2024-07-05,2024,,400000,PAGO PENDIENTE DE DEVOLUCION,PAGO PENDIENTE DE DEVOLUCION,,2668,572977,2024-07-05,CTS01,148.83,0.0,148.83,"SMART THINGS AND FRIENDS, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001152,P000000377,,2024-07-09T00:00:00,2024-07-05,2024,,400000,PAGO GOOGLE IRELAND LIMITED,PAGO GOOGLE IRELAND LIMITED,,2672,572977,2024-07-05,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001156,P000000377,,2024-07-09T00:00:00,2024-07-08,2024,,400000,PAGO GOOGLEADWORDSEU ADS966059,PAGO GOOGLEADWORDSEU ADS966059,,2679,572977,2024-07-08,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001157,P000000495,,2024-07-09T00:00:00,2024-07-08,2024,,400000,PAGO K6DSHCBG95W3CLF6 SEMRUSH,PAGO K6DSHCBG95W3CLF6 SEMRUSH,,2686,572977,2024-07-08,CTS01,219.77,0.0,219.77,SEMRUSH INC.,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001158,P000000417,,2024-07-09T00:00:00,2024-07-08,2024,,400000,PAGO LT-12132215 LINKTREE* LINKTREE,PAGO LT-12132215 LINKTREE* LINKTREE,,2687,572977,2024-07-08,CTS01,22,0.0,22.0,LINKTREE,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001159,P000000397,,2024-07-09T00:00:00,2024-07-08,2024,,400000,"PAGO 3877344 IDEALISTA, S.A.","PAGO 3877344 IDEALISTA, S.A.",,2688,572977,2024-07-08,CTS01,884.82,0.0,884.82,"IDEALISTA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001160,P000000377,,2024-07-10T00:00:00,2024-07-09,2024,,400000,PAGO GOOGLEADWORDSEU ADS966059,PAGO GOOGLEADWORDSEU ADS966059,,2690,572977,2024-07-09,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001161,P000000437,,2024-07-10T00:00:00,2024-07-09,2024,,400000,PAGO FBADS-134-103521562 META PLATFORMS,PAGO FBADS-134-103521562 META PLATFORMS,,2691,572977,2024-07-09,CTS01,27.91,0.0,27.91,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001162,P000000377,,2024-07-11T00:00:00,2024-07-10,2024,,400000,PAGO GOOGLE IRELAND LIMITED,PAGO GOOGLE IRELAND LIMITED,,2699,572977,2024-07-10,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001166,P000000377,,2024-07-12T00:00:00,2024-07-11,2024,,400000,PAGO GOOGLE IRELAND LIMITED,PAGO GOOGLE IRELAND LIMITED,,2703,572977,2024-07-11,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001174,P000000502,,2024-07-15T00:00:00,2024-07-10,2024,,400000,PAGO INV-000078491 ADYEN NV,PAGO INV-000078491 ADYEN NV,,2724,572977,2024-07-10,CTS01,103.15,0.0,103.15,SIGNATURIT SOLUTIONS SL,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001176,P000000377,,2024-07-15T00:00:00,2024-07-12,2024,,400000,PAGO GOOGLEADWORDSEU ADS966059,PAGO GOOGLEADWORDSEU ADS966059,,2725,572977,2024-07-12,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001177,P000000450,,2024-07-15T00:00:00,2024-07-12,2024,,400000,PAGO FREENOW*B39VXN-2,PAGO FREENOW*B39VXN-2,,2726,572977,2024-07-12,CTS01,12.45,0.0,12.45,"MYTAXI IBERIA, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001178,P000000377,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO GOOGLEADWORDSEU ADS966059,PAGO GOOGLEADWORDSEU ADS966059,,2749,572977,2024-07-15,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001179,P000000377,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO GOOGLE IRELAND LIMITED,PAGO GOOGLE IRELAND LIMITED,,2750,572977,2024-07-15,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001180,P000000306,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO 04209-26216616 CANVA* I04209-,PAGO 04209-26216616 CANVA* I04209-,,2752,572977,2024-07-15,CTS01,13.99,0.0,13.99,CANVA PTY. LTD.,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001181,P000000437,,2024-07-16T00:00:00,2024-07-15,2024,,400000,PAGO FBADS-134-103535083 META PLATFORMS,PAGO FBADS-134-103535083 META PLATFORMS,,2753,572977,2024-07-15,CTS01,28.5,0.0,28.5,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,250000001183,P000000377,,2024-07-17T00:00:00,2024-07-16,2024,,400000,PAGO GOOGLE IRELAND LIMITED,PAGO GOOGLE IRELAND LIMITED,,2754,572977,2024-07-16,CTS01,500,0.0,500.0,GOOGLE IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),CAES572977,Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
